herramienta,severidad,hallazgo,control_iso27001,objetivo_cobit
Trivy,High,CVE-2026-76642 en mount 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en mount 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en mount 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en mount 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en ncurses-base 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en ncurses-bin 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-14456 en openssl 3.5.6-1~deb13u2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-14456 en openssl-provider-legacy 3.5.6-1~deb13u2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-13221 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-42496 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-8376 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42497 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-48962 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57432 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57433 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-9538 en perl 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-13221 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-42496 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-8376 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42497 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-48962 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57432 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57433 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-9538 en perl-base 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-13221 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-42496 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-8376 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42497 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-48962 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57432 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57433 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-9538 en perl-modules-5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en util-linux 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en util-linux 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en util-linux 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en util-linux 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2025-68121 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-61726 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-61729 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-25679 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-27145 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32280 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32281 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32283 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33811 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33814 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33818 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39820 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39821 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39822 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39836 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42499 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42504 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56853 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56858 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56859 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56860 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56862 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-12064 en curl 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8286 en curl 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8458 en curl 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8927 en curl 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-41992 en gzip 1.13-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-56372 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56374 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61857 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61861 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61863 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61866 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61870 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86420 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86421 en imagemagick-7-common 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-54369 en libacl1 2.3.2-2+b1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-34980 en libcups2t64 2.4.10-3+deb13u2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-12064 en libcurl4t64 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8286 en libcurl4t64 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8458 en libcurl4t64 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-8927 en libcurl4t64 8.14.1-2+deb13u4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33164 en libde265-0 1.0.15-1+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76956 en libexpat1 2.8.3-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76957 en libexpat1 2.8.3-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-58016 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58010 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58011 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58012 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58013 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58014 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58015 en libglib2.0-0t64 2.84.4-3~deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-56372 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56374 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61857 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61861 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61863 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61866 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61870 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86420 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86421 en libmagickcore-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-56372 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56374 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61857 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61861 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61863 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61866 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-61870 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86420 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86421 en libmagickwand-7.q16-10 8:7.1.1.43+dfsg1-1+deb13u11,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en libncursesw6 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-13221 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-42496 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-8376 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42497 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-48962 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57432 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-57433 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-9538 en libperl5.40 5.40.1-6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-20884 en libraw23t64 0.21.4-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-24450 en libraw23t64 0.21.4-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-24660 en libraw23t64 0.21.4-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-20889 en libraw23t64 0.21.4-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-21413 en libraw23t64 0.21.4-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libsmartcols1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-11822 en libsqlite3-0 3.46.1-7+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-11824 en libsqlite3-0 3.46.1-7+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-58050 en libssh2-1t64 1.11.1-1+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-14456 en libssl3t64 3.5.6-1~deb13u2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-16742 en libsystemd0 257.13-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-36849 en libtiff6 4.7.0-3+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-52490 en libtiff6 4.7.0-3+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-69720 en libtinfo6 6.5+20250216-2,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-16742 en libudev1 257.13-1~deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libuuid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-6653 en libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-86140 en libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u3,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,Critical,CVE-2026-43185 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2013-7445 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2019-19449 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2019-19814 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2021-3847 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2021-3864 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2024-21803 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2024-58015 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-22104 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38137 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38187 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38204 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38206 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38421 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-38636 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-39859 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-39862 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-39958 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-40025 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-68174 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-68735 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-23102 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-23208 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-23327 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-31493 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-31536 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-31568 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-43198 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-43263 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-46130 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-46181 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-46279 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-52991 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53000 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53010 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53089 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53091 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53109 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53118 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53277 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-53330 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-63879 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-64017 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-64283 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68159 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68166 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68264 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68409 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68426 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68470 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-68480 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-72042 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-72098 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-72463 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74268 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74269 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74446 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74476 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74480 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74488 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74502 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74503 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74509 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-74516 en linux-libc-dev 6.12.101-1,A.8.8 Management of technical vulnerabilities,DSS05.07
