herramienta,severidad,hallazgo,control_iso27001,objetivo_cobit
Docker Bench,Alta,1.1.5 - Ensure auditing is configured for Docker files and directories - /var/lib/docker (Automated),A.8.15 Logging,DSS01.03
Docker Bench,Alta,2.2 - Ensure network traffic is restricted between containers on the default bridge (Scored),A.8.20 Networks security,DSS05.02
Docker Bench,Alta,2.9 - Enable user namespace support (Scored),A.8.20 Networks security,DSS05.02
Docker Bench,Alta,2.12 - Ensure that authorization for Docker client commands is enabled (Scored),A.5.17 Authentication information,DSS05.04
Docker Bench,Alta,2.13 - Ensure centralized and remote logging is configured (Scored),A.8.15 Logging,DSS01.03
Docker Bench,Alta,2.14 - Ensure containers are restricted from acquiring new privileges (Scored),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,2.15 - Ensure live restore is enabled (Scored),A.8.13 Information backup,DSS04.07
Docker Bench,Alta,2.16 - Ensure Userland Proxy is Disabled (Scored),Sin clasificar,Sin clasificar
Docker Bench,Alta,3.15 - Ensure that the Docker socket file ownership is set to root:docker (Automated),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Wrong ownership for /var/run/docker.sock,Sin clasificar,Sin clasificar
Docker Bench,Alta,4.1 - Ensure that a user for the container has been created (Automated),Sin clasificar,Sin clasificar
Docker Bench,Alta,* Running as root: greenbone-community-edition-nginx-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Running as root: greenbone-community-edition-gsad-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Running as root: greenbone-community-edition-gvmd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Running as root: greenbone-community-edition-pg-gvm-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Running as root: greenbone-community-edition-ospd-openvas-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Running as root: greenbone-community-edition-openvasd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,4.5 - Ensure Content trust for Docker is Enabled (Automated),Sin clasificar,Sin clasificar
Docker Bench,Alta,4.6 - Ensure that HEALTHCHECK instructions have been added to container images (Automated),A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [ubuntu:22.04],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/openvas-scanner:stable],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/nginx:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/gpg-data:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/gsa:stable-slim],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/gsad:stable],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [wordpress:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [postgres:16],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [mariadb:11],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/ospd-openvas:stable],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/gvm-tools:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [bkimminich/juice-shop:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [registry.community.greenbone.net/community/redis-server:latest],A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* No Healthcheck found: [vulnerables/web-dvwa:latest],A.8.8 Management of technical vulnerabilities,DSS05.07
Docker Bench,Alta,"5.2 - Ensure that, if applicable, an AppArmor Profile is enabled (Automated)",Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-nginx-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-gsad-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-gvmd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-pg-gvm-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-ospd-openvas-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-openvasd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No AppArmorProfile Found: greenbone-community-edition-redis-server-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,"5.3 - Ensure that, if applicable, SELinux security options are set (Automated)",Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-nginx-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-gsad-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-gvmd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-pg-gvm-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-openvasd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* No SecurityOptions Found: greenbone-community-edition-redis-server-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,5.4 - Ensure that Linux kernel capabilities are restricted within containers (Automated),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Capabilities added: CapAdd=[CAP_NET_ADMIN] to greenbone-community-edition-ospd-openvas-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,5.8 - Ensure privileged ports are not mapped within containers (Automated),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileged Port in use: 443 in greenbone-community-edition-nginx-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,5.9 - Ensure that only needed ports are open on the container (Manual),A.8.20 Networks security,DSS05.02
Docker Bench,Alta,* Port in use: 443 in greenbone-community-edition-nginx-1,A.8.20 Networks security,DSS05.02
Docker Bench,Alta,* Port in use: 9392 in greenbone-community-edition-nginx-1,A.8.20 Networks security,DSS05.02
Docker Bench,Alta,5.11 - Ensure that the memory usage for containers is limited (Automated),Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-nginx-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-gsad-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-gvmd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-pg-gvm-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-ospd-openvas-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-openvasd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without memory restrictions: greenbone-community-edition-redis-server-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,5.12 - Ensure that CPU priority is set appropriately on containers (Automated),Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-nginx-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-gsad-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-gvmd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-pg-gvm-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-ospd-openvas-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-openvasd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Container running without CPU restrictions: greenbone-community-edition-redis-server-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,5.13 - Ensure that the container's root filesystem is mounted as read only (Automated),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-nginx-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-gsad-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-gvmd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-pg-gvm-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-ospd-openvas-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-openvasd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Container running with root FS mounted R/W: greenbone-community-edition-redis-server-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,5.22 - Ensure the default seccomp profile is not Disabled (Automated),A.8.9 Configuration management,BAI10.02
Docker Bench,Alta,* Default seccomp profile disabled: greenbone-community-edition-ospd-openvas-1,A.8.9 Configuration management,BAI10.02
Docker Bench,Alta,5.26 - Ensure that the container is restricted from acquiring additional privileges (Automated),A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-nginx-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-gsad-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-gvmd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-pg-gvm-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-ospd-openvas-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-openvasd-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,* Privileges not restricted: greenbone-community-edition-redis-server-1,A.8.2 Privileged access rights,DSS05.04
Docker Bench,Alta,5.27 - Ensure that container health is checked at runtime (Automated),Sin clasificar,Sin clasificar
Docker Bench,Alta,* Health check not set: greenbone-community-edition-nginx-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Health check not set: greenbone-community-edition-gsad-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Health check not set: greenbone-community-edition-ospd-openvas-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Health check not set: greenbone-community-edition-openvasd-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,* Health check not set: greenbone-community-edition-redis-server-1,Sin clasificar,Sin clasificar
Docker Bench,Alta,5.29 - Ensure that the PIDs cgroup limit is used (Automated),A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-nginx-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-gsad-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-gvmd-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-pg-gvm-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-ospd-openvas-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-openvasd-1,A.8.16 Monitoring activities,DSS01.03
Docker Bench,Alta,* PIDs limit not set: greenbone-community-edition-redis-server-1,A.8.16 Monitoring activities,DSS01.03
Trivy,Critical,CVE-2025-68121 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-61726 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2025-61729 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-25679 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-27145 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32280 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32281 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-32283 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33811 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
